Select,28.514435,-81.323295,
Alachua,29.67574,-82.357221,
Baker,30.324442,-82.302284,
Bay,30.237563,-85.631348,
Bradford,29.946934,-82.166796,
Brevard,28.298276,-80.700384,
Broward,26.19352,-80.476658,
Calhoun,30.388801,-85.197916,
Charlotte,26.868826,-81.940858,
Citrus,28.843628,-82.524796,
Clay,29.987116,-81.858147,
Collier,26.118713,-81.400884,
Columbia,30.221305,-82.623127,
DeSoto,27.190581,-81.806253,
Dixie,29.580899,-83.195666,
Duval,30.335245,-81.648113,
Escambia,30.611664,-87.33904,
Flagler,29.474894,-81.286362,
Franklin,29.810176,-84.799174,
Gadsden,30.57917,-84.612783,
Gilchrist,29.723456,-82.795801,
Glades,26.95481,-81.19082,
Gulf,29.907257,-85.256537,
Hamilton,30.491102,-82.951049,
Hardee,27.492846,-81.82158,
Hendry,26.53934,-81.151584,
Hernando,28.567911,-82.464835,
Highlands,27.342627,-81.340921,
Hillsborough,27.90659,-82.349568,
Holmes,30.866222,-85.812959,
Indian River,27.700638,-80.574803,
Jackson,30.787812,-85.210374,
Jefferson,30.424558,-83.890859,
Lafayette,29.990066,-83.17851,
Lake,28.764113,-81.712282,
Lee,26.552134,-81.89225,
Leon,30.45931,-84.2778,
Levy,29.284409,-82.783483,
Liberty,30.259849,-84.868581,
Madison,30.447228,-83.470437,
Manatee,27.481386,-82.365784,
Marion,29.202805,-82.0431,
Martin,27.079954,-80.398211,
Miami-Dade,25.610494,-80.499045,
Monroe,25.601043,-81.206777,
Nassau,30.605926,-81.764929,
Okaloosa,30.665858,-86.594194,
Okeechobee,27.385592,-80.887388,
Orange,28.514435,-81.323295,
Osceola,28.059027,-81.139312,
Palm Beach,26.645763,-80.448673,
Pasco,28.302024,-82.455707,
Pinellas,27.903122,-82.739518,
Polk,27.953115,-81.692783,
Putnam,29.606006,-81.740894,
St. Johns,29.890593,-81.383914,
St. Lucie,27.380775,-80.443364,
Santa Rosa,30.703633,-87.014255,
Sarasota,27.184386,-82.365835,
Seminole,28.690079,-81.13198,
Sumter,28.714294,-82.074715,
Suwannee,30.189244,-82.992754,
Taylor,30.016943,-83.616417,
Union,30.05428,-82.366918,
Volusia,29.057617,-81.161813,
Wakulla,30.140378,-84.375136,
Walton,30.631211,-86.176614,
Washington,30.602217,-85.662797,
